"Zeitstempel","How is your relationship with these applications/programming languages? [Microsoft Excel]","How is your relationship with these applications/programming languages? [R/Rstudio]","How is your relationship with these applications/programming languages? [IBM SPSS]","How is your relationship with these applications/programming languages? [SQL]","How is your relationship with these applications/programming languages? [STATA]","How is your relationship with these applications/programming languages? [Python]","In terms of R… What have you achieved so far? [Installed RStudio]","In terms of R… What have you achieved so far? [Installed a bunch of packages]","In terms of R… What have you achieved so far? [Worked with the tidyverse]","In terms of R… What have you achieved so far? [Gained familiarity with the principles of functional programming]","In terms of R… What have you achieved so far? [Made some plots with ggplot2]","In terms of R… What have you achieved so far? [Wrote some for-loops]","In terms of R… What have you achieved so far? [Used purrr for iterations]","In terms of R… What have you achieved so far? [rvest'ed a bunch of web pages]","As mentioned earlier, the final part of the course will be something more practical. Thereby,  I am not sure which direction to choose. In your opinion, shall we…"
"2020/04/06 6:53:49 PM OEZ","Used it for a project/assignment/paper","Used it a couple of times","I know how to open the application","Never heard of it","Used it for a project/assignment/paper","I know how to open the application","Did it a couple of times","Read of it","Never heard of it","Read of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","...learn some things about data analysis. In our case that would be Social Network Analysis (using tidygraph) and Text Mining (using tidytext). Data would be some Social Media data – Twitter, for convenience's sake."
"2020/04/06 7:53:11 PM OEZ","Advanced user","Advanced user","Advanced user","I know how to open the application","I know how to open the application","Used it a couple of times","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it a couple of times","Read of it","...learn some things about data analysis. In our case that would be Social Network Analysis (using tidygraph) and Text Mining (using tidytext). Data would be some Social Media data – Twitter, for convenience's sake."
"2020/04/06 8:35:22 PM OEZ","Used it for a project/assignment/paper","Used it for a project/assignment/paper","Used it for a project/assignment/paper","Never heard of it","Used it a couple of times","I know how to open the application","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it a couple of times","Did it a couple of times","Did it a couple of times","Never heard of it","Never heard of it","I am especially interested in Text Mining."
"2020/04/07 9:43:36 AM OEZ","Used it a couple of times","Used it a couple of times","Used it for a project/assignment/paper","I know how to open the application","I know how to open the application","I know how to open the application","Did it a couple of times","Did it a couple of times","Did it a couple of times","Never heard of it","Did it a couple of times","Never heard of it","Never heard of it","Never heard of it","...learn something about data acquisition. This implies scraping web pages (using rvest), creating API queries (jsonlite), and storing the data in databases."
"2020/04/07 11:26:03 AM OEZ","Used it a couple of times","Used it a couple of times","I know how to open the application","Never heard of it","I know how to open the application","I know how to open the application","Did it a couple of times","Did it a couple of times","Did it a couple of times","Did it a couple of times","Did it a couple of times","Did it a couple of times","Read of it","Never heard of it","...learn some things about data analysis. In our case that would be Social Network Analysis (using tidygraph) and Text Mining (using tidytext). Data would be some Social Media data – Twitter, for convenience's sake."
"2020/04/07 5:48:25 PM OEZ","Used it for a project/assignment/paper","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","...learn some things about data analysis. In our case that would be Social Network Analysis (using tidygraph) and Text Mining (using tidytext). Data would be some Social Media data – Twitter, for convenience's sake."
"2020/04/08 10:37:21 AM OEZ","Used it a couple of times","Advanced user","Advanced user","I know how to open the application","Advanced user","Used it a couple of times","Doing it on a daily basis","Doing it on a daily basis","Did it for something somebody else graded (project/paper/etc.)","Doing it on a daily basis","Doing it on a daily basis","Did it for something somebody else graded (project/paper/etc.)","Read of it","Read of it","...learn something about data acquisition. This implies scraping web pages (using rvest), creating API queries (jsonlite), and storing the data in databases."
"2020/04/08 3:29:08 PM OEZ","Used it for a project/assignment/paper","Advanced user","Never heard of it","Never heard of it","Never heard of it","Used it a couple of times","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Did it for something somebody else graded (project/paper/etc.)","Read of it","Read of it","Never heard of it","Never heard of it","...learn something about data acquisition. This implies scraping web pages (using rvest), creating API queries (jsonlite), and storing the data in databases."
"2020/04/08 5:28:01 PM OEZ","Used it a couple of times","Used it for a project/assignment/paper","Used it for a project/assignment/paper","I know how to open the application","I know how to open the application","Used it a couple of times","Doing it on a daily basis","Doing it on a daily basis","Did it for something somebody else graded (project/paper/etc.)","Did it a couple of times","Did it for something somebody else graded (project/paper/etc.)","Did it a couple of times","Did it a couple of times","Never heard of it","...learn something about data acquisition. This implies scraping web pages (using rvest), creating API queries (jsonlite), and storing the data in databases."
"2020/04/09 11:52:34 PM OEZ","Used it for a project/assignment/paper","Never heard of it","Never heard of it","Never heard of it","Never heard of it","I know how to open the application","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","...learn some things about data analysis. In our case that would be Social Network Analysis (using tidygraph) and Text Mining (using tidytext). Data would be some Social Media data – Twitter, for convenience's sake."
