country;year;experts;party_id;party;vote;seat;electionyear;family;govt;position;eu_salience;eu_dissent;eu_asylum;eu_budgets;lrgen;lrecon;lrecon_clear;lrecon_salience;galtan;galtan_clear;galtan_salience;immigrate_policy;immigra_salience;immigrate_dissent;multiculturalism;multicult_salience;multicult_dissent;ethnic_minorities;galtan_new;galtan_new_clear;galtan_new_salience;people_vs_elite;antielite_salience;corrupt_salience;members_vs_leadership;party_name;eu_position;eu_budget;immigrate_salience;multiculture;multiculture_salience;multiculture_dissent
the first;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contain only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nonsense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ger;2017;16;301;CDU;26.799.999;28200001,00;2017;4. Christian-democratic;1;60.625;59.375;4;5.875;40.625;55.625;60.625;60.666.666;64.000.001;58.000.002;55.999.999;6;5.625;65.999.999;73.333.335;66.666.665;65.333.333;56.428.571;56.666.665;58.666.668;47.333.331;58.666.668;Feb 25;15.625;12.307.693;80.625;;;;;;;
ger;2017;16;302;SPD;20. May;44003,00;2017;5. socialist;1;65.625;7.125;3;63.125;53.125;3.875;34.375;67.333.331;72.666.669;36.666.667;6;60.714.288;38.125;65.333.333;51.333.332;41.999.998;64.000.001;42.142.859;03. Aug;40.714.288;58.000.002;51.333.332;36.875;23.125;2;May 75;;;;;;;
ger;2017;16;303;FDP;10. Jul;43901,00;2017;3. liberal;0;45.625;5.625;3.375;4.375;3;65.625;Aug 25;90.666.666;8.333.333;03. Aug;66.666.665;62.142.859;64.375;68.666.668;33.571.429;57.142.859;68.666.668;33.571.429;48.666.668;47.333.331;58.000.002;56.666.665;Mar 75;36.875;22.307.692;81.875;;;;;;;
ger;2017;16;304;Grunen;88.999.996;93999996,00;2017;7. green;0;67.333.331;63.125;2.375;65.625;5.875;29.375;Mar 25;62.666.669;48.000.002;01. Apr;87.333.336;08. May;Feb 25;76.666.665;02. May;15.333.333;78.666.668;22.142.856;23.333.333;15.333.333;88.000.002;89.333.334;65.625;2.625;26.923.077;43.125;;;;;;;
ger;2017;16;306;Linke;91.999.998;96999998,00;2017;6. radical left;0;41.875;46.875;4.875;05. May;46.666.665;14.375;10.625;85.333.338;80.714.283;41.333.332;64.666.667;52.857.141;31.875;55.999.999;67.692.308;03. May;67.142.859;45.714.288;36.666.667;31.333.334;54.666.667;53.333.335;61.999.998;63.125;33.846.154;5.875;;;;;;;
ger;2017;16;308;CSU;61.999.998;43957,00;2017;4. Christian-democratic;1;45.625;5.625;Mar 25;Apr 25;3;7.375;6.125;69.333.334;59.333.334;74.666.667;78.666.668;79.285.712;78.125;88.000.002;27.333.333;86.000.004;87.333.336;22.142.856;69.333.334;73.333.335;87.857.141;80.666.666;34.375;3.625;.83333331;7.875;;;;;;;
ger;2017;16;310;AfD;12. Jun;43903,00;2017;1. radical TAN;0;18.125;7.125;2;01. May;13.125;91.875;75.333.333;35.333.333;33.333.333;94.666.662;88.666.668;92.857.141;93.125;99.333.334;.73333335;98.666.668;90.666.666;10.714.285;86.000.004;88.000.002;93.999.996;97.333.336;7.625;96.875;5;Jun 25;;;;;;;
ger;2017;16;350;LKR;;;2017;2. conservative;0;02. Aug;Aug 75;1;02. May;Jan 25;Jul 75;9;8.666.667;83.846.149;9;66.666.665;76.666.665;08. May;8;0;9.333.333;8.333.333;3;8;08. May;8;07. May;05. May;8;04. May;9;;;;;;;
ger;2017;16;351;BLAU;;;2017;1. radical TAN;0;21.428.571;79.166.665;01. Jun;14.285.715;11.666.666;84.444.447;8.333.333;36.666.667;71.666.665;9;75.999.999;9;9.625;98.000.002;.60000002;9.833.333;8;.60000002;93.999.996;87.142.859;96.000.004;96.000.004;06. May;8.833.333;02. May;9;;;;;;;
gr;2017;13;401;PASOK;59.000.001;53000002,00;2015;5. socialist;0;66.153.846;76.923.075;11.666.666;63.076.925;55.833.335;49.230.771;57.692.308;57.692.308;77.692.308;36.153.846;60.769.229;5;46.923.075;53.076.925;33.846.154;03. Jul;52.307.692;03. Feb;28.333.333;03. May;56.153.846;May 75;3.090.909;16.153.846;56.923.075;61.538.463;;;;;;;
gr;2017;13;402;ND;28. Jan;25,00;2015;2. conservative;0;67.692.308;82.307.692;20.769.231;54.615.383;6;73.333.335;85.384.617;76.923.075;88.461.542;70.769.229;56.923.075;56.923.075;77.692.308;59.230.771;04. May;07. May;59.230.771;50.833.335;64.615.383;72.307.692;65.384.617;65.833.335;18.333.334;22.307.692;6;76.923.075;;;;;;;
